date,competition,season,stage,home_team,away_team,home_goals,away_goals,neutral
2000-01-04,Friendly,2000,Unknown,Egypt,Togo,2,1,False
2000-01-07,Friendly,2000,Unknown,Tunisia,Togo,7,0,False
2000-01-08,Friendly,2000,Unknown,Trinidad And Tobago,Canada,0,0,False
2000-01-09,Friendly,2000,Unknown,Burkina Faso,Gabon,1,1,False
2000-01-09,Friendly,2000,Unknown,Guatemala,Armenia,1,1,True
2000-01-09,Friendly,2000,Unknown,Ivory Coast,Egypt,2,0,False
2000-01-09,Friendly,2000,Unknown,Mexico,Iran,2,1,True
2000-01-11,Friendly,2000,Unknown,Bermuda,Canada,0,2,False
2000-01-11,Friendly,2000,Unknown,Burkina Faso,Cameroon,2,2,False
2000-01-13,Friendly,2000,Unknown,Senegal,Cameroon,0,0,False
2000-01-14,Friendly,2000,Unknown,China,New Zealand,1,0,False
2000-01-16,Friendly,2000,Unknown,Jamaica,New Zealand,2,1,True
2000-01-16,Friendly,2000,Unknown,United States,Iran,1,1,False
2000-01-18,Friendly,2000,Unknown,Ghana,Tunisia,2,0,False
2000-01-18,Friendly,2000,Unknown,Morocco,Trinidad And Tobago,1,0,False
2000-01-19,Friendly,2000,Unknown,Panama,Guatemala,2,0,False
2000-01-19,Friendly,2000,Unknown,Togo,Egypt,1,0,False
2000-01-20,Friendly,2000,Unknown,Burkina Faso,Algeria,1,0,False
2000-01-20,Friendly,2000,Unknown,Malta,Qatar,2,0,False
2000-01-21,Friendly,2000,Unknown,New Zealand,South Korea,0,1,False
2000-01-22,African Cup of Nations,2000,Unknown,Ghana,Cameroon,1,1,False
2000-01-23,Friendly,2000,Unknown,New Zealand,South Korea,0,0,False
2000-01-23,AFC Asian Cup qualification,2000,Unknown,China,Philippines,8,0,True
2000-01-23,African Cup of Nations,2000,Unknown,Egypt,Zambia,2,0,True
2000-01-23,African Cup of Nations,2000,Unknown,South Africa,Gabon,3,1,True
2000-01-23,AFC Asian Cup qualification,2000,Unknown,Vietnam,Guam,11,0,False
2000-01-23,African Cup of Nations,2000,Unknown,Nigeria,Tunisia,4,2,False
2000-01-24,African Cup of Nations,2000,Unknown,Dr Congo,Algeria,0,0,True
2000-01-24,African Cup of Nations,2000,Unknown,Ivory Coast,Togo,1,1,True
2000-01-24,Friendly,2000,Unknown,Qatar,Bosnia And Herzegovina,2,0,False
2000-01-25,African Cup of Nations,2000,Unknown,Burkina Faso,Senegal,1,3,True
2000-01-25,African Cup of Nations,2000,Unknown,Morocco,Congo,1,0,True
2000-01-26,Friendly,2000,Unknown,Guatemala,Panama,1,1,False
2000-01-26,AFC Asian Cup qualification,2000,Unknown,China,Guam,19,0,True
2000-01-26,Friendly,2000,Unknown,Costa Rica,Trinidad And Tobago,2,1,False
2000-01-26,Friendly,2000,Unknown,Uganda,Libya,3,2,False
2000-01-26,AFC Asian Cup qualification,2000,Unknown,Vietnam,Philippines,3,0,False
2000-01-26,Friendly,2000,Unknown,Spain,Poland,3,0,False
2000-01-27,African Cup of Nations,2000,Unknown,Ghana,Togo,2,0,False
2000-01-27,African Cup of Nations,2000,Unknown,South Africa,Dr Congo,1,0,True
2000-01-28,African Cup of Nations,2000,Unknown,Cameroon,Ivory Coast,3,0,True
2000-01-28,African Cup of Nations,2000,Unknown,Egypt,Senegal,1,0,True
2000-01-28,African Cup of Nations,2000,Unknown,Nigeria,Congo,0,0,False
2000-01-28,Friendly,2000,Unknown,United States Virgin Islands,Saint Lucia,0,9,False
2000-01-29,AFC Asian Cup qualification,2000,Unknown,Philippines,Guam,2,0,True
2000-01-29,Friendly,2000,Unknown,Chile,United States,1,2,False
2000-01-29,African Cup of Nations,2000,Unknown,Algeria,Gabon,3,1,True
2000-01-29,African Cup of Nations,2000,Unknown,Tunisia,Morocco,0,0,True
2000-01-29,African Cup of Nations,2000,Unknown,Zambia,Burkina Faso,1,1,True
2000-01-29,AFC Asian Cup qualification,2000,Unknown,Vietnam,China,0,2,False
2000-01-30,Friendly,2000,Unknown,United States Virgin Islands,Saint Lucia,0,2,False
2000-01-31,African Cup of Nations,2000,Unknown,Cameroon,Togo,0,1,True
2000-01-31,Nordic Championship,2000,Unknown,Faroe Islands,Finland,0,1,True
2000-01-31,African Cup of Nations,2000,Unknown,Ghana,Ivory Coast,0,2,False
2000-01-31,Nordic Championship,2000,Unknown,Iceland,Norway,0,0,True
2000-01-31,Friendly,2000,Unknown,Kuwait,Syria,4,0,False
2000-02-01,African Cup of Nations,2000,Unknown,Egypt,Burkina Faso,4,2,True
2000-02-01,African Cup of Nations,2000,Unknown,Zambia,Senegal,2,2,True
2000-02-01,Friendly,2000,Unknown,British Virgin Islands,Saint Lucia,2,3,False
2000-02-02,Cyprus International Tournament,2000,Unknown,Cyprus,Lithuania,2,1,False
2000-02-02,African Cup of Nations,2000,Unknown,Dr Congo,Gabon,0,0,True
2000-02-02,Friendly,2000,Unknown,Costa Rica,Chile,1,0,False
2000-02-02,Cyprus International Tournament,2000,Unknown,Armenia,Moldova,2,1,True
2000-02-02,Friendly,2000,Unknown,Saint Kitts And Nevis,Saint Lucia,0,1,False
2000-02-02,Cyprus International Tournament,2000,Unknown,Romania,Latvia,2,0,True
2000-02-02,African Cup of Nations,2000,Unknown,South Africa,Algeria,1,1,True
2000-02-02,Nordic Championship,2000,Unknown,Finland,Iceland,0,1,True
2000-02-03,African Cup of Nations,2000,Unknown,Nigeria,Morocco,2,0,False
2000-02-03,African Cup of Nations,2000,Unknown,Tunisia,Congo,1,0,True
2000-02-04,Cyprus International Tournament,2000,Unknown,Cyprus,Armenia,3,2,False
2000-02-04,Friendly,2000,Unknown,Kuwait,Iran,1,1,False
2000-02-04,Nordic Championship,2000,Unknown,Faroe Islands,Iceland,2,3,True
2000-02-04,Cyprus International Tournament,2000,Unknown,Romania,Georgia,1,1,True
2000-02-04,Nordic Championship,2000,Unknown,Norway,Sweden,1,1,True
2000-02-04,Cyprus International Tournament,2000,Unknown,Moldova,Lithuania,2,1,True
2000-02-05,Friendly,2000,Unknown,Guatemala,Chile,2,1,False
2000-02-05,Lunar New Year Cup,2000,Unknown,Japan,Mexico,0,1,True
2000-02-06,Malta International Tournament,2000,Unknown,Albania,Andorra,3,0,True
2000-02-06,African Cup of Nations,2000,Unknown,Cameroon,Algeria,2,1,True
2000-02-06,Friendly,2000,Unknown,Cayman Islands,Jamaica,0,0,False
2000-02-06,Cyprus International Tournament,2000,Unknown,Cyprus,Romania,3,2,False
2000-02-06,Cyprus International Tournament,2000,Unknown,Georgia,Armenia,2,1,True
2000-02-06,African Cup of Nations,2000,Unknown,Ghana,South Africa,0,1,False
2000-02-06,Cyprus International Tournament,2000,Unknown,Latvia,Lithuania,1,2,True
2000-02-06,Malta International Tournament,2000,Unknown,Malta,Azerbaijan,3,0,False
