date,competition,season,stage,home_team,away_team,home_goals,away_goals,neutral
2003-03-29,Brasileirão,2003,League,Guarani,Vasco,4,2,False
2003-03-29,Brasileirão,2003,League,Athletico-PR,Gremio,2,0,False
2003-03-30,Brasileirão,2003,League,Flamengo,Coritiba,1,1,False
2003-03-30,Brasileirão,2003,League,Goias,Paysandu,2,2,False
2003-03-30,Brasileirão,2003,League,Internacional,Ponte Preta,1,1,False
2003-03-30,Brasileirão,2003,League,Criciuma,Fluminense,2,0,False
2003-03-30,Brasileirão,2003,League,Juventude,Sao Paulo,2,2,False
2003-03-30,Brasileirão,2003,League,Fortaleza,Bahia,0,0,False
2003-03-30,Brasileirão,2003,League,Cruzeiro,Sao Caetano,2,2,False
2003-03-30,Brasileirão,2003,League,Vitoria,Figueirense,1,1,False
2003-03-30,Brasileirão,2003,League,Santos,Parana,2,2,False
2003-03-30,Brasileirão,2003,League,Corinthians,Atletico-MG,0,3,False
2003-04-05,Brasileirão,2003,League,Coritiba,Internacional,0,1,False
2003-04-05,Brasileirão,2003,League,Gremio,Guarani,3,1,False
2003-04-05,Brasileirão,2003,League,Fluminense,Fortaleza,1,1,False
2003-04-05,Brasileirão,2003,League,Atletico-MG,Santos,0,0,False
2003-04-06,Brasileirão,2003,League,Vasco,Goias,6,4,False
2003-04-06,Brasileirão,2003,League,Sao Caetano,Criciuma,3,2,False
2003-04-06,Brasileirão,2003,League,Parana,Athletico-PR,3,0,False
2003-04-06,Brasileirão,2003,League,Sao Paulo,Cruzeiro,2,4,False
2003-04-06,Brasileirão,2003,League,Paysandu,Vitoria,1,2,False
2003-04-06,Brasileirão,2003,League,Figueirense,Corinthians,3,3,False
2003-04-06,Brasileirão,2003,League,Bahia,Flamengo,1,2,False
2003-04-06,Brasileirão,2003,League,Ponte Preta,Juventude,1,0,False
2003-04-09,Brasileirão,2003,League,Paysandu,Santos,2,1,False
2003-04-12,Brasileirão,2003,League,Internacional,Bahia,2,0,False
2003-04-12,Brasileirão,2003,League,Santos,Figueirense,2,0,False
2003-04-12,Brasileirão,2003,League,Athletico-PR,Atletico-MG,1,2,False
2003-04-12,Brasileirão,2003,League,Corinthians,Paysandu,6,1,False
2003-04-13,Brasileirão,2003,League,Cruzeiro,Ponte Preta,3,0,False
2003-04-13,Brasileirão,2003,League,Flamengo,Fluminense,4,1,False
2003-04-13,Brasileirão,2003,League,Guarani,Parana,2,0,False
2003-04-13,Brasileirão,2003,League,Goias,Gremio,1,1,False
2003-04-13,Brasileirão,2003,League,Fortaleza,Sao Caetano,1,1,False
2003-04-13,Brasileirão,2003,League,Vitoria,Vasco,2,1,False
2003-04-13,Brasileirão,2003,League,Juventude,Coritiba,2,1,False
2003-04-13,Brasileirão,2003,League,Criciuma,Sao Paulo,1,1,False
2003-04-16,Brasileirão,2003,League,Bahia,Juventude,3,1,False
2003-04-16,Brasileirão,2003,League,Gremio,Vitoria,2,1,False
2003-04-16,Brasileirão,2003,League,Atletico-MG,Guarani,3,2,False
2003-04-16,Brasileirão,2003,League,Figueirense,Athletico-PR,1,1,False
2003-04-16,Brasileirão,2003,League,Sao Caetano,Flamengo,1,1,False
2003-04-16,Brasileirão,2003,League,Vasco,Corinthians,2,2,False
2003-04-16,Brasileirão,2003,League,Coritiba,Cruzeiro,3,4,False
2003-04-16,Brasileirão,2003,League,Ponte Preta,Criciuma,1,1,False
2003-04-17,Brasileirão,2003,League,Fluminense,Internacional,3,1,False
2003-04-17,Brasileirão,2003,League,Sao Paulo,Fortaleza,3,1,False
2003-04-17,Brasileirão,2003,League,Parana,Goias,3,1,False
2003-04-18,Brasileirão,2003,League,Flamengo,Cruzeiro,3,0,False
2003-04-19,Brasileirão,2003,League,Flamengo,Santos,0,2,False
2003-04-19,Brasileirão,2003,League,Sao Caetano,Gremio,1,1,False
2003-04-19,Brasileirão,2003,League,Bahia,Atletico-MG,2,4,False
2003-04-20,Brasileirão,2003,League,Fluminense,Parana,0,0,False
2003-04-20,Brasileirão,2003,League,Sao Paulo,Vasco,3,1,False
2003-04-20,Brasileirão,2003,League,Internacional,Corinthians,2,1,False
2003-04-20,Brasileirão,2003,League,Criciuma,Guarani,1,0,False
2003-04-20,Brasileirão,2003,League,Juventude,Vitoria,1,1,False
2003-04-20,Brasileirão,2003,League,Fortaleza,Athletico-PR,1,0,False
2003-04-20,Brasileirão,2003,League,Ponte Preta,Paysandu,4,4,False
2003-04-20,Brasileirão,2003,League,Cruzeiro,Goias,4,1,False
2003-04-21,Brasileirão,2003,League,Coritiba,Figueirense,1,0,False
2003-04-26,Brasileirão,2003,League,Atletico-MG,Coritiba,1,2,False
2003-04-26,Brasileirão,2003,League,Parana,Bahia,3,1,False
2003-04-26,Brasileirão,2003,League,Vitoria,Internacional,0,3,False
2003-04-26,Brasileirão,2003,League,Guarani,Cruzeiro,1,1,False
2003-04-27,Brasileirão,2003,League,Paysandu,Sao Paulo,5,2,False
2003-04-27,Brasileirão,2003,League,Athletico-PR,Criciuma,5,2,False
2003-04-27,Brasileirão,2003,League,Vasco,Sao Caetano,1,0,False
2003-04-27,Brasileirão,2003,League,Gremio,Fluminense,0,1,False
2003-04-27,Brasileirão,2003,League,Goias,Juventude,7,0,False
2003-04-27,Brasileirão,2003,League,Figueirense,Ponte Preta,0,0,False
2003-04-27,Brasileirão,2003,League,Santos,Fortaleza,4,0,False
2003-04-27,Brasileirão,2003,League,Corinthians,Flamengo,1,1,False
2003-05-03,Brasileirão,2003,League,Flamengo,Vitoria,2,1,False
2003-05-03,Brasileirão,2003,League,Bahia,Gremio,2,1,False
2003-05-03,Brasileirão,2003,League,Cruzeiro,Athletico-PR,5,2,False
2003-05-04,Brasileirão,2003,League,Fluminense,Vasco,0,0,False
